TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,CustomerAgeGroup,Cluster
396.45,Debit,New York,ATM,49,Engineer,168.00000000000003,3,9690.15,Middle-aged,0
877.81,Debit,Los Angeles,Online,22,Student,150.0,1,399.0,Teenager,1
255.26,Credit,San Francisco,Branch,45,Doctor,50.00000000000001,1,14815.87,Adult,0
124.76,Debit,Seattle,Branch,49,Engineer,45.0,1,5764.72,Middle-aged,0
78.13,Debit,Milwaukee,Branch,26,Student,145.0,1,900.61,Adult,1
649.28,Debit,San Jose,ATM,75,Retired,137.0,1,4875.86,Senior,0
795.31,Debit,Mesa,ATM,66,Doctor,90.0,2,7914.879999999999,Senior,0
335.63,Debit,Oklahoma City,Online,55,Retired,215.99999999999997,1,1019.39,Middle-aged,0
328.47,Debit,San Antonio,ATM,63,Retired,119.0,1,4323.66,Senior,0
34.02,Debit,Philadelphia,Online,38,Doctor,18.999999999999996,1,14214.48,Adult,1
241.42000000000002,Credit,Charlotte,Online,57,Doctor,116.00000000000001,1,13357.02,Middle-aged,0
55.32,Debit,Tucson,ATM,19,Student,117.0,1,241.79000000000002,Teenager,1
304.31,Debit,Louisville,Branch,27,Student,33.0,1,868.61,Adult,1
435.27,Debit,Chicago,Branch,74,Retired,90.0,1,4673.28,Senior,0
164.49,Debit,Baltimore,Branch,26,Student,75.0,1,1509.27,Adult,1
510.23999999999995,Debit,Oklahoma City,Online,19,Student,105.0,1,781.7,Teenager,1
626.9,Debit,Denver,Online,26,Student,138.0,1,265.51,Adult,1
22.01,Credit,Sacramento,Online,41,Engineer,175.0,1,1335.09,Adult,1
425.34,Credit,Kansas City,Online,69,Retired,121.0,1,3907.5399999999995,Senior,0
424.56,Debit,Omaha,Online,51,Engineer,264.0,1,5183.85,Middle-aged,0
85.43,Debit,Virginia Beach,Branch,67,Doctor,145.0,1,14904.9,Senior,0
169.5,Debit,San Diego,Branch,28,Student,142.0,1,918.8799999999999,Adult,1
104.63,Debit,Omaha,ATM,62,Retired,90.0,1,4477.78,Senior,0
316.95,Debit,Mesa,Branch,25,Student,83.0,1,1324.03,Teenager,1
60.540000000000006,Credit,Columbus,Branch,57,Retired,52.00000000000001,1,3534.93,Middle-aged,0
292.56,Credit,Dallas,Branch,68,Retired,61.00000000000001,1,4638.37,Senior,0
386.52,Debit,Indianapolis,Branch,48,Engineer,28.0,1,5630.61,Middle-aged,0
112.07,Debit,Kansas City,Branch,23,Student,51.00000000000001,1,930.3,Teenager,1
568.52,Debit,Indianapolis,ATM,46,Engineer,151.99999999999997,1,5499.91,Middle-aged,0
263.99,Debit,Dallas,Branch,79,Retired,227.0,2,4175.02,Senior,0
349.64,Debit,Las Vegas,Online,48,Engineer,226.0,1,6651.62,Middle-aged,0
601.4,Credit,Philadelphia,Branch,56,Engineer,104.0,1,8458.29,Middle-aged,0
5.77,Debit,Charlotte,Online,50,Doctor,123.99999999999999,1,13988.12,Middle-aged,0
201.33,Credit,Nashville,Branch,42,Engineer,186.0,1,2585.07,Adult,1
298.42,Debit,Indianapolis,Branch,56,Retired,225.0,1,3014.75,Middle-aged,0
521.06,Debit,Albuquerque,Branch,25,Student,128.0,1,1951.42,Teenager,1
117.28,Credit,Austin,Online,60,Engineer,16.0,1,3665.77,Middle-aged,0
189.12,Credit,Indianapolis,Branch,32,Engineer,103.0,1,977.01,Adult,1
133.55,Debit,Atlanta,ATM,44,Engineer,220.0,1,3846.2800000000007,Adult,1
143.21,Debit,Dallas,Online,35,Engineer,135.0,1,6374.82,Adult,1
24.77,Debit,Boston,ATM,62,Retired,55.0,1,5866.01,Senior,0
233.92,Credit,Jacksonville,Online,26,Student,280.0,1,6537.62,Adult,1
1212.51,Debit,Indianapolis,Branch,20,Student,24.0,1,605.9499999999999,Teenager,1
232.12,Debit,Omaha,ATM,37,Engineer,51.00000000000001,1,6689.87,Adult,1
162.63,Debit,Kansas City,Online,22,Student,113.0,1,634.17,Teenager,1
91.53,Debit,Milwaukee,Branch,44,Doctor,69.00000000000001,1,14676.05,Adult,1
120.29,Debit,Miami,Branch,19,Student,77.0,1,1362.39,Teenager,1
174.25,Debit,Seattle,Online,50,Doctor,67.0,1,10528.34,Middle-aged,0
183.71,Debit,Denver,ATM,38,Engineer,102.0,1,552.52,Adult,1
345.39,Credit,Phoenix,Online,58,Engineer,80.0,1,6451.96,Middle-aged,0
922.55,Debit,Detroit,ATM,63,Retired,87.0,1,4715.84,Senior,0
259.91,Debit,Denver,Online,49,Doctor,170.0,1,7176.86,Middle-aged,0
154.71,Debit,San Diego,Online,34,Doctor,157.0,1,1523.72,Adult,1
1340.19,Credit,Austin,Online,54,Engineer,30.0,1,8654.28,Middle-aged,0
24.56,Debit,Mesa,Branch,64,Doctor,69.00000000000001,1,9869.93,Senior,0
568.07,Debit,Washington,ATM,48,Doctor,115.0,1,10556.81,Middle-aged,0
9.61,Credit,San Diego,Online,58,Doctor,179.0,1,12883.91,Middle-aged,0
392.96,Debit,Kansas City,Online,24,Student,100.00000000000001,1,791.65,Teenager,1
716.93,Credit,Milwaukee,Online,60,Retired,34.0,1,4064.02,Middle-aged,0
223.85,Debit,Kansas City,ATM,53,Engineer,55.0,4,2929.91,Middle-aged,0
230.66,Debit,Houston,Branch,21,Student,135.0,1,618.05,Teenager,1
442.12,Debit,Los Angeles,Online,19,Student,260.0,1,1375.8,Teenager,1
644.17,Debit,San Antonio,ATM,29,Engineer,72.0,1,1143.52,Adult,1
508.67999999999995,Credit,Mesa,Branch,51,Engineer,127.0,1,7708.41,Middle-aged,0
858.63,Credit,San Francisco,Branch,27,Student,185.0,1,1872.96,Adult,1
25.36,Debit,Louisville,ATM,57,Engineer,78.0,1,201.04,Middle-aged,0
147.62,Debit,Charlotte,Branch,71,Retired,133.0,1,2115.8,Senior,0
115.02,Debit,San Antonio,Branch,37,Doctor,175.0,1,7643.66,Adult,1
383.37,Debit,Fort Worth,Branch,30,Engineer,24.0,1,8901.93,Adult,1
98.54,Credit,El Paso,Online,20,Student,167.0,1,9383.43,Teenager,1
83.24,Credit,Fort Worth,Branch,55,Doctor,164.0,1,1181.31,Middle-aged,0
196.16,Debit,Virginia Beach,Branch,27,Engineer,146.0,1,9418.86,Adult,1
129.94,Debit,Las Vegas,ATM,32,Engineer,235.0,1,7954.919999999999,Adult,1
306.9,Debit,Colorado Springs,Online,46,Engineer,51.00000000000001,1,9418.08,Middle-aged,0
114.98,Debit,Seattle,Online,59,Retired,80.0,1,6144.68,Middle-aged,0
756.59,Debit,Sacramento,Branch,27,Student,17.0,1,420.65,Adult,1
503.76000000000005,Debit,Los Angeles,Online,22,Student,35.0,1,447.82,Teenager,1
143.03,Debit,San Antonio,ATM,63,Retired,147.0,1,7981.450000000001,Senior,0
1045.22,Debit,Columbus,ATM,53,Retired,73.0,1,1829.9,Middle-aged,0
245.54,Debit,New York,ATM,25,Student,180.0,1,985.0600000000001,Teenager,1
254.37000000000003,Credit,Dallas,Online,51,Engineer,174.0,1,8849.26,Middle-aged,0
213.76,Credit,Dallas,ATM,78,Retired,282.0,1,3528.72,Senior,0
327.86,Debit,Fresno,Online,40,Engineer,104.0,1,480.16,Adult,1
2.5,Debit,San Diego,Online,47,Doctor,107.0,1,12145.27,Middle-aged,0
300.08,Credit,Austin,Online,68,Doctor,47.0,1,13546.75,Senior,0
56.98,Credit,Oklahoma City,ATM,43,Engineer,122.0,2,5688.37,Adult,1
407.65,Debit,Boston,Online,26,Engineer,61.99999999999999,1,8346.64,Adult,1
115.83,Debit,Fresno,Branch,39,Engineer,167.0,1,6481.04,Adult,1
53.57,Debit,Houston,ATM,69,Retired,121.0,1,1651.33,Senior,0
63.34,Credit,Detroit,Online,46,Doctor,165.0,1,11174.94,Middle-aged,0
317.87,Debit,Detroit,Online,27,Student,91.0,1,145.5,Adult,1
331.65,Debit,Portland,Online,41,Engineer,61.00000000000001,1,4172.57,Adult,1
5.04,Debit,Washington,ATM,56,Retired,41.0,1,5558.36,Middle-aged,0
214.54,Credit,Detroit,Online,70,Doctor,247.0,1,11151.53,Senior,0
598.81,Debit,Philadelphia,Branch,57,Doctor,158.0,1,1415.52,Middle-aged,0
841.28,Debit,Tucson,Online,26,Student,80.0,1,1103.64,Adult,1
38.15,Debit,Mesa,Online,26,Student,107.99999999999999,1,303.68,Adult,1
1036.66,Debit,San Antonio,Branch,58,Doctor,144.0,1,5541.57,Middle-aged,0
124.72,Debit,Oklahoma City,Branch,33,Engineer,105.0,1,6309.8,Adult,1
302.45,Credit,San Antonio,Branch,78,Retired,40.0,1,5133.61,Senior,0
208.04,Debit,Louisville,Online,47,Engineer,273.0,1,9344.98,Middle-aged,0
5.77,Credit,Los Angeles,Branch,23,Student,254.0,1,1117.97,Teenager,1
381.33,Debit,Albuquerque,ATM,56,Doctor,75.0,1,11835.35,Middle-aged,0
16.16,Debit,Milwaukee,ATM,50,Doctor,123.99999999999999,1,14401.17,Middle-aged,0
486.0799999999999,Debit,Oklahoma City,Online,18,Student,68.00000000000001,1,1748.69,Teenager,1
336.39,Debit,San Antonio,Branch,21,Student,18.0,1,1000.46,Teenager,1
997.4299999999998,Debit,Seattle,Online,69,Doctor,118.0,1,6810.05,Senior,0
234.57,Debit,Chicago,Online,23,Student,120.0,1,263.98,Teenager,1
6.0,Debit,Chicago,Online,30,Doctor,246.0,1,5442.76,Adult,1
1049.92,Debit,Detroit,ATM,80,Retired,21.000000000000004,1,2037.85,Senior,0
227.14,Debit,Charlotte,ATM,18,Student,294.0,1,341.94,Teenager,1
233.74,Credit,Oklahoma City,Online,66,Retired,17.0,1,1066.59,Senior,0
113.02,Credit,Jacksonville,Branch,69,Retired,166.0,1,6077.96,Senior,0
45.85,Debit,Los Angeles,ATM,20,Student,91.99999999999999,1,1659.15,Teenager,1
973.3899999999999,Debit,Sacramento,Branch,77,Retired,296.0,1,2042.22,Senior,0
514.95,Debit,New York,Online,41,Doctor,142.0,5,421.93,Adult,1
415.5,Debit,Memphis,ATM,66,Doctor,141.0,1,10113.66,Senior,0
265.76,Debit,Philadelphia,Online,54,Retired,91.99999999999999,1,4446.17,Middle-aged,0
69.4,Debit,Virginia Beach,Online,80,Retired,113.0,1,6452.77,Senior,0
332.93,Credit,Albuquerque,Branch,35,Engineer,293.0,1,2788.2,Adult,1
267.9,Debit,San Antonio,Online,20,Student,160.0,1,596.1599999999999,Teenager,1
496.0299999999999,Debit,San Francisco,Branch,61,Doctor,265.0,1,12904.66,Senior,0
376.26,Debit,Tucson,ATM,37,Engineer,245.0,1,9062.4,Adult,1
83.02,Credit,Seattle,Online,36,Engineer,171.0,1,9009.56,Adult,1
93.26,Credit,New York,Online,20,Student,72.0,1,1152.2,Teenager,1
803.37,Credit,Memphis,Branch,68,Doctor,129.0,1,12168.37,Senior,0
35.76,Debit,Charlotte,Branch,23,Student,122.0,1,611.8599999999999,Teenager,1
28.53,Debit,Washington,Online,62,Doctor,99.0,1,8670.53,Senior,0
139.53,Credit,Louisville,Online,53,Doctor,177.0,1,10098.86,Middle-aged,0
307.57,Debit,Detroit,Branch,33,Doctor,285.0,1,5307.74,Adult,1
60.650000000000006,Credit,Tucson,Branch,56,Retired,53.00000000000001,1,1047.28,Middle-aged,0
74.86,Debit,Nashville,Branch,70,Doctor,125.0,1,6921.48,Senior,0
117.97,Debit,Kansas City,Branch,51,Retired,137.0,1,1475.46,Middle-aged,0
231.91,Debit,Memphis,ATM,34,Engineer,165.0,1,112.76,Adult,1
126.20999999999998,Debit,Baltimore,Branch,75,Retired,268.0,1,5669.66,Senior,0
506.28,Credit,Chicago,Online,53,Retired,162.0,2,1309.95,Middle-aged,0
304.35,Debit,Houston,Branch,31,Engineer,36.0,1,4057.1,Adult,1
281.85,Debit,Detroit,ATM,22,Student,109.0,1,1585.98,Teenager,1
777.88,Debit,Houston,Branch,31,Engineer,17.0,1,6825.55,Adult,1
119.18,Debit,Los Angeles,Branch,56,Retired,96.0,1,5516.5,Middle-aged,0
177.19,Debit,Chicago,Online,76,Retired,43.0,1,5343.3,Senior,0
260.88,Debit,Denver,Branch,22,Student,36.0,1,903.05,Teenager,1
169.47,Debit,Chicago,Online,24,Student,18.999999999999996,1,1806.16,Teenager,1
73.23,Debit,Portland,Branch,26,Student,14.0,1,787.7399999999999,Adult,1
1362.55,Debit,El Paso,ATM,29,Engineer,106.0,1,2429.68,Adult,1
792.57,Debit,Baltimore,ATM,19,Student,164.0,1,770.37,Teenager,1
237.06,Debit,Phoenix,Online,71,Retired,45.99999999999999,1,1182.77,Senior,0
34.17,Credit,Philadelphia,Online,54,Engineer,53.99999999999999,1,726.55,Middle-aged,0
740.25,Debit,Philadelphia,Online,41,Doctor,123.0,1,14464.3,Adult,1
453.54,Debit,Albuquerque,ATM,58,Doctor,82.0,1,12046.3,Middle-aged,0
300.47,Debit,Jacksonville,Branch,73,Retired,100.00000000000001,1,7885.64,Senior,0
110.93,Credit,Virginia Beach,Branch,19,Student,201.0,1,1952.3499999999997,Teenager,1
201.69,Debit,Las Vegas,ATM,59,Doctor,299.0,1,7328.52,Middle-aged,0
399.21,Debit,Portland,ATM,59,Engineer,109.0,1,3210.39,Middle-aged,0
1041.88,Debit,Jacksonville,Online,78,Retired,57.0,1,5726.2,Senior,0
630.36,Debit,Mesa,ATM,62,Retired,52.00000000000001,1,1363.65,Senior,0
10.94,Credit,Philadelphia,ATM,60,Engineer,245.0,1,1241.99,Middle-aged,0
215.9,Debit,Los Angeles,ATM,38,Doctor,235.0,1,7873.280000000001,Adult,1
1422.55,Debit,Washington,Branch,79,Retired,165.0,1,5674.32,Senior,0
226.37,Credit,Louisville,Branch,49,Doctor,141.0,1,9840.04,Middle-aged,0
444.89,Credit,Las Vegas,Branch,43,Doctor,101.0,1,10328.23,Adult,1
280.57,Credit,Virginia Beach,Online,25,Student,24.0,1,293.24,Teenager,1
488.54,Debit,Jacksonville,Branch,52,Engineer,132.0,1,7486.63,Middle-aged,0
3.3,Credit,Los Angeles,Branch,50,Doctor,131.0,1,11385.37,Middle-aged,0
199.39,Debit,Colorado Springs,Branch,69,Retired,165.0,1,7264.79,Senior,0
20.36,Debit,Tucson,Branch,62,Retired,75.0,1,2762.48,Senior,0
113.64,Debit,Detroit,Online,62,Retired,32.0,1,6675.03,Senior,0
493.11,Debit,Colorado Springs,Branch,53,Retired,236.0,1,7432.99,Middle-aged,0
307.41,Debit,Los Angeles,ATM,19,Student,14.0,1,1057.0,Teenager,1
11.18,Debit,Atlanta,Online,43,Doctor,161.0,1,5956.89,Adult,1
313.82,Debit,Tucson,Branch,59,Engineer,151.0,1,7261.59,Middle-aged,0
51.0,Debit,Seattle,Branch,64,Retired,107.0,1,4943.16,Senior,0
140.98,Debit,Memphis,Branch,60,Engineer,100.00000000000001,1,8127.4800000000005,Middle-aged,0
288.04,Debit,Denver,ATM,68,Retired,63.0,1,1748.02,Senior,0
800.55,Debit,Oklahoma City,ATM,31,Engineer,107.99999999999999,1,9660.22,Adult,1
485.54,Debit,Houston,ATM,46,Engineer,143.0,1,6371.51,Middle-aged,0
521.15,Debit,Kansas City,ATM,54,Doctor,214.0,1,9442.47,Middle-aged,0
321.79,Credit,Raleigh,ATM,63,Retired,61.00000000000001,1,5959.2,Senior,0
304.93,Debit,Portland,ATM,65,Doctor,158.0,1,13531.22,Senior,0
432.08,Debit,El Paso,ATM,40,Doctor,145.0,1,11500.62,Adult,1
694.2,Debit,Milwaukee,ATM,61,Retired,72.0,1,1389.37,Senior,0
116.86,Debit,Louisville,ATM,55,Engineer,171.0,1,6706.56,Middle-aged,0
386.81,Credit,Detroit,Online,57,Doctor,149.0,1,7175.29,Middle-aged,0
74.88,Debit,Atlanta,ATM,25,Student,202.0,1,420.67,Teenager,1
195.76,Debit,Philadelphia,Branch,75,Retired,99.0,1,7323.53,Senior,0
134.7,Debit,Fort Worth,ATM,50,Doctor,106.0,1,8395.85,Middle-aged,0
890.24,Credit,Las Vegas,Online,33,Engineer,161.0,1,5140.93,Adult,1
361.27,Debit,Omaha,ATM,63,Doctor,180.0,1,7945.57,Senior,0
131.56,Debit,Charlotte,Branch,44,Doctor,42.00000000000001,1,5873.54,Adult,1
485.51,Credit,Milwaukee,Online,76,Retired,37.0,1,3074.45,Senior,0
547.87,Debit,Columbus,ATM,64,Retired,131.0,1,6155.76,Senior,0
457.3,Debit,Virginia Beach,Online,28,Engineer,15.0,1,8318.29,Adult,1
506.24,Debit,Chicago,ATM,58,Engineer,64.0,1,230.09,Middle-aged,0
486.59,Debit,Indianapolis,Branch,57,Retired,119.0,1,2513.56,Middle-aged,0
163.68,Debit,San Diego,Branch,41,Doctor,292.0,1,10090.05,Adult,1
581.65,Debit,Boston,ATM,22,Student,176.0,1,480.19000000000005,Teenager,1
52.01,Debit,Mesa,ATM,48,Doctor,85.0,1,1120.88,Middle-aged,0
630.24,Debit,Boston,ATM,21,Student,61.99999999999999,1,370.81,Teenager,1
523.74,Debit,Oklahoma City,ATM,43,Doctor,159.0,1,13498.55,Adult,1
705.6,Debit,Phoenix,Branch,40,Doctor,123.99999999999999,3,14804.7,Adult,1
217.5,Credit,Denver,Branch,46,Engineer,35.0,1,3057.4,Middle-aged,0
91.48,Debit,Fort Worth,ATM,51,Doctor,141.0,1,14942.779999999999,Middle-aged,0
5.25,Debit,San Jose,ATM,39,Doctor,49.0,1,14143.32,Adult,1
54.03,Credit,Milwaukee,ATM,56,Retired,161.0,1,6736.3,Middle-aged,0
736.73,Debit,Memphis,Branch,48,Engineer,10.0,1,3313.07,Middle-aged,0
368.91,Debit,Virginia Beach,Branch,54,Doctor,14.0,1,829.7099999999999,Middle-aged,0
33.06,Credit,Fort Worth,Online,53,Retired,170.0,1,1540.87,Middle-aged,0
66.5,Credit,Louisville,Online,32,Engineer,144.0,1,6820.23,Adult,1
177.08,Debit,Las Vegas,Online,35,Doctor,85.0,1,13475.14,Adult,1
588.54,Debit,Portland,Branch,32,Engineer,130.0,1,714.4499999999999,Adult,1
173.5,Debit,Nashville,ATM,21,Student,282.0,1,1306.91,Teenager,1
78.33,Credit,Memphis,Online,56,Engineer,189.0,1,7255.33,Middle-aged,0
40.66,Debit,Louisville,Branch,59,Retired,156.0,1,1153.84,Middle-aged,0
97.22,Credit,Atlanta,Branch,77,Retired,55.0,1,6647.73,Senior,0
34.07,Debit,Philadelphia,Branch,22,Student,81.0,1,8709.77,Teenager,1
492.06000000000006,Debit,Fresno,Online,23,Student,74.0,1,857.9,Teenager,1
842.01,Credit,Virginia Beach,Online,53,Doctor,185.0,1,509.45000000000005,Middle-aged,0
73.55,Debit,Atlanta,ATM,51,Engineer,158.0,1,2812.06,Middle-aged,0
760.53,Debit,Phoenix,Online,57,Engineer,118.0,1,6179.91,Middle-aged,0
273.08,Credit,Houston,Branch,26,Engineer,134.0,1,6609.3,Adult,1
371.69,Debit,San Francisco,Branch,67,Retired,143.0,1,3484.32,Senior,0
218.96,Debit,Seattle,ATM,18,Student,13.0,1,754.21,Teenager,1
227.39,Debit,Atlanta,Online,18,Student,65.0,1,751.09,Teenager,1
237.99,Credit,Kansas City,Branch,39,Doctor,86.0,1,8510.09,Adult,1
186.6,Debit,Washington,Online,58,Doctor,13.0,1,1508.72,Middle-aged,0
341.15,Debit,San Jose,Online,18,Student,148.0,1,511.36999999999995,Teenager,1
434.58,Debit,Memphis,ATM,59,Doctor,215.0,1,12648.32,Middle-aged,0
312.88,Credit,Portland,Branch,54,Engineer,44.0,1,233.21,Middle-aged,0
75.15,Debit,Boston,ATM,23,Student,154.0,1,1092.92,Teenager,1
23.3,Debit,Los Angeles,ATM,59,Engineer,161.0,1,6711.15,Middle-aged,0
47.38,Credit,Seattle,Online,25,Student,61.00000000000001,1,459.37,Teenager,1
512.81,Debit,Sacramento,Branch,79,Retired,30.0,1,6994.34,Senior,0
488.15000000000003,Debit,Louisville,Branch,43,Engineer,168.00000000000003,1,7071.09,Adult,1
12.82,Debit,Fort Worth,ATM,44,Engineer,156.0,1,9045.19,Adult,1
66.9,Credit,Charlotte,Online,79,Retired,129.0,4,5238.71,Senior,0
535.91,Debit,Las Vegas,Online,43,Engineer,22.0,1,9642.12,Adult,1
270.72,Credit,Washington,Online,26,Engineer,53.00000000000001,1,6263.96,Adult,1
97.98,Debit,Denver,Branch,72,Retired,18.0,1,7460.329999999999,Senior,0
196.08,Debit,San Francisco,Online,61,Retired,98.0,1,4233.82,Senior,0
251.18000000000004,Debit,San Jose,ATM,42,Engineer,246.0,1,8303.9,Adult,1
44.52,Debit,El Paso,Online,28,Student,205.0,1,314.28,Adult,1
178.87,Debit,Baltimore,Online,35,Doctor,180.0,1,5241.23,Adult,1
1176.28,Credit,Kansas City,ATM,54,Engineer,174.0,5,323.69,Middle-aged,0
386.68,Debit,New York,Branch,46,Doctor,128.0,1,6863.06,Middle-aged,0
167.14,Debit,Denver,Online,76,Retired,20.0,1,3877.7299999999996,Senior,0
345.22,Debit,Fresno,Branch,69,Retired,253.0,1,4046.5800000000004,Senior,0
74.85,Debit,Raleigh,ATM,72,Retired,117.0,1,2409.73,Senior,0
671.73,Debit,Washington,Branch,58,Engineer,53.99999999999999,1,5211.88,Middle-aged,0
255.03999999999996,Debit,Seattle,ATM,45,Engineer,151.99999999999997,1,6217.86,Adult,0
45.77,Debit,Philadelphia,Online,25,Student,109.0,1,5978.12,Teenager,1
329.69,Credit,San Antonio,Online,26,Student,66.0,1,1671.66,Adult,1
362.04,Credit,Philadelphia,Branch,58,Doctor,198.0,2,8421.88,Middle-aged,0
11.92,Debit,San Diego,Branch,53,Doctor,52.00000000000001,1,14611.9,Middle-aged,0
47.42,Debit,San Diego,ATM,64,Doctor,28.0,1,8253.52,Senior,0
35.99,Debit,Miami,Branch,63,Retired,129.0,1,4489.79,Senior,0
151.19,Credit,New York,Branch,37,Doctor,96.0,1,11903.82,Adult,1
242.62,Credit,San Francisco,Online,22,Student,234.0,1,483.02000000000004,Teenager,1
48.72,Debit,Virginia Beach,Branch,21,Student,17.0,1,816.0799999999999,Teenager,1
43.46,Debit,Boston,ATM,25,Student,80.0,1,578.06,Teenager,1
1036.21,Debit,Omaha,Online,25,Student,126.0,1,477.3,Teenager,1
443.79,Debit,Las Vegas,ATM,53,Retired,87.0,1,3133.85,Middle-aged,0
365.14,Debit,Dallas,Online,68,Retired,57.0,1,5894.09,Senior,0
757.41,Debit,Los Angeles,ATM,22,Student,37.0,1,9532.42,Teenager,1
20.54,Debit,Fort Worth,Branch,51,Engineer,72.0,1,5327.03,Middle-aged,0
475.36,Debit,Phoenix,ATM,34,Engineer,105.0,1,2000.6,Adult,1
34.74,Debit,San Francisco,ATM,56,Retired,24.0,1,6827.57,Middle-aged,0
689.54,Debit,Oklahoma City,Branch,27,Student,93.0,1,1633.76,Adult,1
211.18,Debit,Washington,ATM,73,Retired,90.0,1,4069.1699999999996,Senior,0
211.36,Credit,Fort Worth,Branch,51,Engineer,286.0,1,7943.469999999999,Middle-aged,0
744.41,Credit,Houston,Online,39,Engineer,107.0,1,8842.47,Adult,1
61.43,Debit,Phoenix,Online,24,Student,170.0,1,1882.77,Teenager,1
167.44,Debit,Mesa,Branch,37,Doctor,82.0,1,12526.71,Adult,1
361.46,Debit,Nashville,Online,21,Student,83.0,1,4737.84,Teenager,1
378.85,Debit,Virginia Beach,Branch,78,Retired,126.0,1,2300.53,Senior,0
241.10999999999999,Debit,Columbus,Branch,30,Doctor,55.0,1,12385.05,Adult,1
131.93,Credit,Fort Worth,Branch,31,Engineer,13.0,1,4547.06,Adult,1
20.28,Debit,Oklahoma City,Online,36,Engineer,213.0,1,2047.83,Adult,1
415.88,Debit,San Diego,Branch,70,Doctor,170.0,1,10008.33,Senior,0
49.99,Debit,Omaha,ATM,62,Retired,139.0,1,2299.64,Senior,0
1221.65,Debit,Denver,Online,27,Student,153.0,1,243.92,Adult,1
100.66,Debit,Dallas,Branch,50,Doctor,144.0,1,14473.33,Middle-aged,0
485.54,Debit,Louisville,Online,19,Student,148.0,1,1533.32,Teenager,1
321.15,Debit,Los Angeles,Branch,46,Doctor,179.0,1,7005.05,Middle-aged,0
711.3,Debit,San Jose,Branch,21,Student,51.00000000000001,1,955.4,Teenager,1
12.23,Debit,Houston,ATM,42,Engineer,139.0,1,7844.880000000001,Adult,1
350.94,Debit,Colorado Springs,ATM,20,Student,64.0,1,221.56,Teenager,1
301.85,Debit,Columbus,Online,54,Engineer,25.000000000000004,1,6586.19,Middle-aged,0
29.34,Debit,Louisville,Online,65,Retired,30.0,1,3944.82,Senior,0
231.71,Debit,Raleigh,Branch,27,Student,148.0,1,1127.98,Adult,1
179.43,Debit,Oklahoma City,ATM,58,Retired,244.0,1,2626.63,Middle-aged,0
36.71,Debit,Jacksonville,Branch,48,Doctor,55.0,1,6459.38,Middle-aged,0
138.12,Credit,Los Angeles,Branch,53,Doctor,281.0,1,1649.69,Middle-aged,0
